,MT233522.1,MT259277.1,MT259284.1,MT263436.1,MT263453.1,MT293180.1,MT293224.1,MT308694.1,MT308696.1,MT326129.1
MT233522.1,0,90,115,90,130,104,90,135,151,90
MT259277.1,90,0,43,2,58,32,2,63,79,0
MT259284.1,115,43,0,43,81,47,43,86,104,43
MT263436.1,90,2,43,0,58,32,0,63,79,2
MT263453.1,130,58,81,58,0,68,58,101,119,58
MT293180.1,104,32,47,32,68,0,32,77,93,32
MT293224.1,90,2,43,0,58,32,0,63,79,2
MT308694.1,135,63,86,63,101,77,63,0,22,63
MT308696.1,151,79,104,79,119,93,79,22,0,79
MT326129.1,90,0,43,2,58,32,2,63,79,0
