,MT233522.1,MT259277.1,MT259284.1,MT263436.1,MT263453.1,MT293180.1,MT293224.1,MT308694.1,MT308696.1,MT326129.1
MT233522.1,0.0,90.0,115.0,90.0,130.0,104.0,90.0,135.0,151.0,90.0
MT259277.1,90.0,0.0,43.0,2.0,58.0,32.0,2.0,63.0,79.0,0.0
MT259284.1,115.0,43.0,0.0,43.0,81.0,47.0,43.0,86.0,104.0,43.0
MT263436.1,90.0,2.0,43.0,0.0,58.0,32.0,0.0,63.0,79.0,2.0
MT263453.1,130.0,58.0,81.0,58.0,0.0,68.0,58.0,101.0,119.0,58.0
MT293180.1,104.0,32.0,47.0,32.0,68.0,0.0,32.0,77.0,93.0,32.0
MT293224.1,90.0,2.0,43.0,0.0,58.0,32.0,0.0,63.0,79.0,2.0
MT308694.1,135.0,63.0,86.0,63.0,101.0,77.0,63.0,0.0,22.0,63.0
MT308696.1,151.0,79.0,104.0,79.0,119.0,93.0,79.0,22.0,0.0,79.0
MT326129.1,90.0,0.0,43.0,2.0,58.0,32.0,2.0,63.0,79.0,0.0
