,MT233522.1,MT259277.1,MT259284.1,MT263436.1,MT263453.1,MT293180.1,MT293224.1,MT308694.1,MT308696.1,MT326129.1
MT233522.1,0.0,0.05387163881406243,0.05016141084136749,0.05376488674574109,0.04983780737649646,0.053296372362289124,0.05376488674574109,0.0510057820880323,0.04971865205406678,0.05387163881406243
MT259277.1,0.05387163881406243,0.0,0.06353471649083031,0.0002618898010842141,0.06762981250805289,0.06648606335498652,0.0002618898010842141,0.06324320358510749,0.06493088463734387,0.0
MT259284.1,0.05016141084136749,0.06353471649083031,0.0,0.0634819738747966,0.031231445358424592,0.06613470915388198,0.0634819738747966,0.061042681330191195,0.06347345628726864,0.06353471649083031
MT263436.1,0.05376488674574109,0.0002618898010842141,0.0634819738747966,0.0,0.06773563261387294,0.06653862577285774,0.0,0.06324320358510749,0.06493088463734387,0.0002618898010842141
MT263453.1,0.04983780737649646,0.06762981250805289,0.031231445358424592,0.06773563261387294,0.0,0.06787942483846343,0.06773563261387294,0.06205793740872945,0.06260700997949675,0.06762981250805289
MT293180.1,0.053296372362289124,0.06648606335498652,0.06613470915388198,0.06653862577285774,0.06787942483846343,0.0,0.06653862577285774,0.06361791929119853,0.06388351816849225,0.06648606335498652
MT293224.1,0.05376488674574109,0.0002618898010842141,0.0634819738747966,0.0,0.06773563261387294,0.06653862577285774,0.0,0.06324320358510749,0.06493088463734387,0.0002618898010842141
MT308694.1,0.0510057820880323,0.06324320358510749,0.061042681330191195,0.06324320358510749,0.06205793740872945,0.06361791929119853,0.06324320358510749,0.0,0.05750225320041258,0.06324320358510749
MT308696.1,0.04971865205406678,0.06493088463734387,0.06347345628726864,0.06493088463734387,0.06260700997949675,0.06388351816849225,0.06493088463734387,0.05750225320041258,0.0,0.06493088463734387
MT326129.1,0.05387163881406243,0.0,0.06353471649083031,0.0002618898010842141,0.06762981250805289,0.06648606335498652,0.0002618898010842141,0.06324320358510749,0.06493088463734387,0.0
